feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,Genre
19.863806192516673,16.049406337877915,20.071445083418244,21.206042460847286,18.632007221260466,18.410048453617268,60.89544275590085,2851.5593650040882,0.09622206964590443,pop
17.23984067719336,14.955183240806617,20.05358781558776,21.873826857171668,19.140822647846687,18.48974733239285,61.366889183313894,2965.054681254121,0.11588263918515358,pop
21.764333326732253,14.002472047961152,19.208301239580965,19.352384479303577,16.075593346431035,16.086230119743966,61.009786251864384,2837.837321887478,0.09572545595136518,pop
24.267715181118742,15.769885421486826,18.529118762418054,20.899148172888584,20.2132352898232,27.559711246096487,58.71658764060296,1820.3585943528576,0.07275257305887373,pop
24.06205485589869,14.196063035404658,16.967833282990433,21.039842717504822,17.476720519051263,17.393142523259034,61.16086569145895,2462.546899768156,0.10230008799061434,pop
23.65261842144257,15.236102057967974,18.39883442400356,21.70810078124953,18.955561864398838,19.86884559596698,61.14528582767587,2133.5533990397835,0.0925714590443686,pop
22.471292318484497,15.130939696462159,16.1962356339155,20.079516288195162,17.216996462249437,17.306418858962065,60.718069142844556,2336.1317892675897,0.057266224936006825,pop
18.5130589480119,17.41244766465128,23.023130962405673,27.292072942760125,22.817924987530592,24.166261850759764,59.25093136899287,1950.1796849715806,0.0703058340443686,pop
20.942518286473714,14.722353040893788,18.050338611134954,21.018686864162184,19.012171366445408,18.57707741384751,61.23171679455227,2558.6003285208544,0.09926841136945393,pop
20.926314562260863,12.416278704979149,16.37287773116253,19.642452844128194,17.793073621740593,16.679367426456484,61.466217438718154,2652.258554165967,0.1449295408489761,pop
23.414305448482487,16.989708928693837,20.71142311486595,21.858600376843953,20.807127923500698,19.323726832651406,60.10737383975771,2072.9932866465947,0.056366987521331055,pop
19.056959007053262,21.06649893356101,24.778518957421362,25.99692246097185,21.274188631239376,21.990550425737553,60.09160281110973,2106.03118050016,0.07404910142918089,pop
21.34731335781589,14.78367463530255,18.39921956986455,19.974091272831764,18.82426082628524,18.773381446097986,61.310126963872534,2339.749247743969,0.1076171875,pop
23.7895004249632,19.439909451277952,21.99347107828227,21.769509176494125,19.769828026766376,19.65271065112381,61.43423381257095,2494.007253468172,0.042537462670648465,pop
14.411573112214427,14.345298774737069,17.513980124978975,17.638874896331167,17.710067827209958,17.299678667559487,61.15352129483282,2078.4128701418313,0.07728009012372014,pop
22.92476667558354,13.602177801991669,18.104745452394358,19.18136336514877,17.057341305190125,16.32898849031271,60.825279991459,2623.041244173445,0.11187606655290103,pop
19.805844430445912,16.29274922078801,17.973870361476006,19.5600111111746,17.38242712305614,16.65039733181413,60.71108849640182,2731.529483476368,0.12214263811860068,pop
16.759283935691666,14.466283390785994,16.09504332382189,18.16467428918405,16.384731999707483,17.04800010444246,62.62538250295578,2504.4807387570163,0.10929834151023891,pop
21.04978776070174,14.442195703849247,19.36591134463663,20.743066459793404,18.196623322434633,16.10805511793235,60.959493687264114,2940.948622208517,0.1001586497440273,pop
19.527085888718933,14.60307787248723,17.985307078445718,19.659621477336795,18.45356272475941,17.601611169487953,60.92228596409793,2507.279220139886,0.12679180887372013,pop
18.8048137831845,13.56837570134479,17.29420298986711,18.474390813322564,17.21783129284923,16.815885890532748,60.71444475983797,2667.6210414208017,0.14536582764505118,pop
17.286340972343545,13.214660727951907,15.807743210826192,16.830494425115543,15.708128070546225,16.298275821709872,61.03787975060174,2628.078004186001,0.15439253146331058,pop
22.913156879794517,13.591127740037743,18.04558605641272,19.232028278238456,17.039976052711076,16.343706325757665,60.76626785251659,2623.2349580402806,0.1117907423208191,pop
19.939174792605073,15.90399041550742,19.05698186358022,19.777960212236003,17.813506732352828,16.70037044680427,60.68707073349752,2825.030342489813,0.14077265091723548,pop
22.85222482634293,13.695898030334755,18.68910632160677,20.037482309936877,17.961190410652875,16.805550329626936,60.85440174698666,2677.0675485408183,0.11454911476109216,pop
22.86406620439991,18.192331320596335,20.85053550563052,20.871377701556305,18.169570516272383,17.677844525221094,60.67122263428574,2694.805916435501,0.08324678700938566,pop
22.27888688897349,15.042265520481546,19.82002405917041,22.03438174359416,20.119790987840766,18.242649638550773,60.39028642689118,2375.085116845742,0.08364274477389079,pop
21.827922436486347,15.303298133360386,17.68485503000349,19.479451057306413,18.51286068284549,17.4314508923582,60.10560518327823,2431.6064893298003,0.08233188459897611,pop
20.58246867135444,14.549794745695422,19.0408704371892,20.80765842377815,17.384566452099644,15.88536192823404,60.58368167851991,2615.9887844977825,0.0981688619880546,pop
20.2091202633221,15.880259880591542,19.58303757229335,20.807030283114724,18.36520490878675,16.899645073642024,61.653993331628755,2716.2460631004556,0.09260945499146758,pop
16.42009332215873,14.373404300517842,18.374120213649025,20.025087857860374,18.181402230984755,16.6398236662408,61.13723051538063,2507.9349244660148,0.1207297888225256,pop
