feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,Genre
0.6636435389518738,0.5894985795021057,0.6583812832832336,0.5196847915649414,0.6083317399024963,0.6060339212417603,0.5168346762657166,0.6445149779319763,0.5688202977180481,0.6138487458229065,0.5222839713096619,0.6017154455184937,0.09622206964590443,0.18400190770626068,pop
0.6910687685012817,0.5778622627258301,0.5938147902488708,0.5622760653495789,0.516286313533783,0.6083114147186279,0.5397079586982727,0.6729088425636292,0.6040027141571045,0.5584922432899475,0.6062994003295898,0.6008957624435425,0.11588263918515358,0.25767868757247925,pop
0.663163959980011,0.6291155815124512,0.6813625693321228,0.54465651512146,0.4990343153476715,0.5261844396591187,0.5288131237030029,0.6070736050605774,0.5569727420806885,0.6917563080787659,0.7323260307312012,0.6274186968803406,0.09572545595136518,0.21323280036449432,pop
0.5505610704421997,0.5254261493682861,0.7352052330970764,0.5078694820404053,0.4603685736656189,0.4899173974990845,0.5820963978767395,0.8427799344062805,0.5817039608955383,0.6013281345367432,0.5136159062385559,0.6287557482719421,0.07275257305887373,0.12881606817245483,pop
0.6502114534378052,0.631030797958374,0.689043402671814,0.5728723406791687,0.5982674956321716,0.5432184934616089,0.5940895676612854,0.6370754837989807,0.6528853178024292,0.7148957252502441,0.6206464767456055,0.658422589302063,0.10230008799061434,0.2097615897655487,pop
0.5310483574867249,0.6725867390632629,0.5201840996742249,0.5335415005683899,0.4334299862384796,0.4745312035083771,0.7293751239776611,0.5297911763191223,0.5339315533638,0.4774235188961029,0.6454064249992371,0.6770592331886292,0.0925714590443686,0.13912387192249298,pop
0.7456492781639099,0.5691992044448853,0.589572012424469,0.512317955493927,0.559668779373169,0.5822518467903137,0.6335844993591309,0.7572568655014038,0.5835520625114441,0.5379210114479065,0.5206938982009888,0.7034078240394592,0.057266224936006825,0.09358293563127518,pop
0.3296055793762207,0.44097983837127686,0.6011267304420471,0.3639073073863983,0.2914135754108429,0.2650300860404968,0.31933265924453735,0.3324728310108185,0.3530837595462799,0.640999972820282,0.4861171841621399,0.3471378684043884,0.0703058340443686,0.08405885845422745,pop
0.649815022945404,0.5971136689186096,0.6067212224006653,0.7488424777984619,0.5328469276428223,0.5559898018836975,0.536069929599762,0.6095921397209167,0.7563830018043518,0.5955727696418762,0.6095965504646301,0.5357031226158142,0.09926841136945393,0.19371050596237183,pop
0.654933512210846,0.7511835694313049,0.6517515778541565,0.64126056432724,0.6105895638465881,0.5648716688156128,0.6760746240615845,0.6316124796867371,0.630140483379364,0.6908373236656189,0.7422919869422913,0.7736242413520813,0.1449295408489761,0.15803343057632446,pop
0.5307588577270508,0.6498900651931763,0.5287001132965088,0.5199885964393616,0.7314777374267578,0.5609796047210693,0.5554633736610413,0.4672464430332184,0.5527350306510925,0.6744598150253296,0.5331119298934937,0.5957743525505066,0.056366987521331055,0.18345697224140167,pop
0.39288097620010376,0.35860469937324524,0.4788197875022888,0.2687589228153229,0.3510664403438568,0.4630500376224518,0.32994017004966736,0.5405358672142029,0.37810274958610535,0.5877474546432495,0.4181995093822479,0.31326234340667725,0.07404910142918089,0.05560002103447914,pop
0.6946601271629333,0.59450364112854,0.6237421631813049,0.6015896797180176,0.5770599246025085,0.7010100483894348,0.5626087188720703,0.5774921178817749,0.5534007549285889,0.6329923272132874,0.6511354446411133,0.6114060282707214,0.1076171875,0.1635097861289978,pop
0.7244705557823181,0.5570500493049622,0.5216189622879028,0.39728885889053345,0.44032761454582214,0.496141254901886,0.4559396207332611,0.5184022188186646,0.4815611243247986,0.5529313683509827,0.5550593733787537,0.5643904805183411,0.042537462670648465,0.17245560884475708,pop
0.7541788816452026,0.7255844473838806,0.7057788968086243,0.7242653965950012,0.5847495198249817,0.555540144443512,0.531445324420929,0.5991548299789429,0.6366172432899475,0.6161308884620667,0.6803807020187378,0.6810625791549683,0.07728009012372014,0.07786586880683899,pop
0.72792649269104,0.6370455622673035,0.6488461494445801,0.6115859746932983,0.5078417658805847,0.5246273875236511,0.5664489269256592,0.6460800766944885,0.5534935593605042,0.5537922382354736,0.6055080890655518,0.620427131652832,0.11187606655290103,0.19381539523601532,pop
0.633944571018219,0.6967230439186096,0.6355776190757751,0.6920451521873474,0.531162440776825,0.525937020778656,0.5962285995483398,0.5344465374946594,0.5590298771858215,0.5738546252250671,0.6954931616783142,0.6793228983879089,0.12214263811860068,0.14445193111896515,pop
